"","coder","date","newsnm","rptmm","rptdd","rptyy","evmm","evdd","evyy","days","eventid","stories","title","followup","who","what","where","against","purpose","whysm","page","section","paragrph","staten","state1","state2","state3","state4","cityn","city1","city2","neighn","neighbr","particd","particex","partices","groups","igrp1c1","igrp1c2","igrp2c1","igrp2c2","igrp3c1","igrp3c2","targd","targnum","targ1","targ2","ertarg1","ertarg2","smonamed","smonum","smoname1","smoname2","smoname3","smoname4","claim1","val1","claim2","val2","claim3","val3","claim4","val4","form1","form2","form3","form4","act1","act2","act3","act4","viold","violtype","counterd","police1","police2","police3","police4","arrestd","arrestex","arrestes","propdam","dollars","injury","deaths","d_eventid","flag_followup","injprot","injprot_est","injby","injby_est","injpol","injpol_est","injoth","injoth_est","dthprot","dthprot_est","dthby","dthby_est","dthpol","dthpol_est","dthoth","dthoth_est","agenda_code"
"5637","APRIL DONALDSON",NA,"NYT",4,9,1967,4,9,1967,1,6704021,2,"SEVERAL HURT AS NEGRO STUDENTS BATTLE RIOT POLICE IN NASHVILLE",0,"FISK UNIVERSITY BLACK STUDENTS","RIOT","FISK UNIV.","POLICE","PROTEST POLICE PRESENCE AND BAN OF SPEAKER-- CARMICHAEL","collective, claims made, public",1,"1",46,1,"TN","","","",1,"NASHVILLE","",NA,"",1,800,NA,1,800,401,NA,NA,NA,NA,1,1,7,NA,430,NA,1,1,"STUDENT NONVIOLENT COORDINATING COMMITTEE","","","",1518,1,1500,1,NA,NA,NA,NA,12,NA,NA,NA,55,60,61,62,1,1,0,1,1,1,1,NA,NA,NA,1,NA,1,0,"",NA,30,1,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"3019","YVETTE GASIOREK",2000-07-06,"NYT",4,28,1964,4,27,1964,1,6404059,1,"NASHVILLE POLICE BREAK UP PROTEST",0,"STUDENTS","DEMONSTRATE","NASHVILLE, TN","GOVT.","PRO-INTEGRATION","COLLECTIVE, CLAIMS MADE, PUBLIC",27,"1",10,1,"TN","","","",1,"NASHVILLE","",NA,"",1,150,NA,1,800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1501,1,1505,1,NA,NA,NA,NA,1,5,NA,NA,57,45,NA,NA,0,NA,0,1,1,1,1,0,18,NA,0,NA,1,0,"",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"7753","MELISSA BISHOP",NA,"NYT",6,23,1969,10,22,1967,1,6906043,4,"CAIRO IL DIVIDED BY RACIAL CONFLICT",0,"A negro","was lynched","in a police station jail in Cairo, Il.","which sparked three days of Negro rioting","","Collective unconventional activity with specific claims",1,"1",41,1,"IL","","","",1,"CAIRO","",NA,"",0,NA,4,1,402,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,"","","","",2517,3,NA,3,NA,3,NA,3,12,NA,NA,NA,98,NA,NA,NA,1,3,0,1,1,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"2920","MIKE MULCAHY",2000-05-16,"NYT",3,16,1964,3,15,1964,1,6403020,1,"12 SKATING-RINK PICKETS HELD",0,"BLACK & WHITE DEMONSTRATORS","PICKET","CATONSVILLE, MD","ROLLER SKATING RINK","CIVIL RIGHTS","COLLECTIVE, CLAIMS MADE, PUBLIC",34,"1",1,1,"MD","","","",1,"CATONSVILLE","",NA,"",1,150,NA,2,401,1800,430,1800,NA,NA,1,1,2,NA,NA,NA,1,1,"CONGRESS OF RACIAL EQUALITY","","","",1500,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,1,1,1,0,0,12,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"15102","KRISTY KAPTUR",2001-04-24,"NYT",4,30,1980,4,NA,1980,NA,8004060,1,"CATHOLICS AND JEWS ASSAIL WATER FEES AT SCHOOL",0,"RABBI'S ORGANIZATION","LOBBYING","NEW YORK CITY, NY","CITY","TO PASS BILL THAT WOULD REQUIRE FEE EXEMPTIONS FOR RELIGIOUS SCHOOLS","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"B",19,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1100,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1338,1,1400,1,1342,3,NA,NA,9,NA,NA,NA,40,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"6026","SANDY MYSKOWSKI",NA,"NYT",8,10,1967,8,9,1967,1,6708039,1,"17 NEGROS GRANTED DELAY IN ANARCHY CASE",0,"BLACK NATIONALISTS","OCCUPIED HALLS","QUEENS CITY COURTHOUSE, NYC, NY","STATE SUPREME COURT","PROTEST RACIAL INEQUALITY","COLLECTIVE, CLAIMS MADE, PUBLIC",24,"1",13,1,"NY","","","",1,"NEW YORK","",1,"QUEENS",1,200,NA,1,401,1800,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"STUDENT NON-VIOLENT COORDINATING COMMITTEE","","","",1518,1,1502,1,NA,NA,NA,NA,5,NA,NA,NA,57,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"23521","TOLU OLORUMMIPI",2006-08-01,"NYT",11,6,1995,10,16,1994,1,9511010,1,"3 ACCUSED OF RACE WAR SHOOTINGS FACE TRIAL",1,"3 FRIENDS","SHOOTING SPREE","LUBBOCK TEXAS","AFRICAN AMERICANS","HATE CRIME","COLLECTIVE, CLAIMS MADE, PUBLIC",18,"A",14,1,"TX","","","",1,"LUBBOCK","",NA,"",0,NA,3,NA,1500,NA,NA,NA,NA,NA,1,1,7,NA,401,NA,0,NA,"","","","",2504,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,55,NA,NA,NA,1,1,0,1,1,0,0,NA,NA,NA,0,NA,1,1,"",NA,2,0,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,201
"22041","LAURA",2002-05-17,"NYT",7,10,1992,7,9,1992,1,9207015,1,"CHINESE WORKERS DEMONSTRATE FOR BETTER JOBS",0,"2000 PEOPLE","MARCHED","FOLEY SQUARE","FEDERAL CONSTRUCTION PROJECTS","PROTEST JOB DISCRIMINATION THAT KEEPS THEM IN LOW WAGE JOBS","COLLECTIVE, CLAIMS MADE, PUBLIC",2,"2",1,1,"NY","","","",1,"NEW YORK","",1,"FOLEY SQUARE",1,2000,NA,2,410,NA,100,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1903,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,22,20,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"11795","SERDA",NA,"NYT",5,13,1975,5,12,1975,1,7505021,1,"2500 CHINESE PROTEST ALLEGED POLICE BEATING HERE",0,"CHINESE PEOPLE","MARCHED","CITY HALL","STATE","ANGERED BY ALLEGED POLLICE BRUTALITY","COLLECTIVE, CLAIMS MADE, PUBLIC",39,"3",12,1,"NY","","","",1,"NEW YORK","",1,"MANHATTAN",1,2500,NA,3,410,700,410,900,410,1500,1,1,1,NA,NA,NA,1,1,"ASIAN AMERICANS FOR EQUAL EMPLOYMENT","","","",1912,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,27,28,22,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"4323","MARVIN RUTH",NA,"NYT",8,2,1965,8,1,1965,1,6508051,1,"TWO CHURCHES BAR CIVIL RIGHTS GROUPS IN AMERICUS DRIVE",0,"THREE WHITE MEN AND A WHITE WOMAN","THREW BOTTLES AT BLACK CHILDREN","AMERICUS, GA","BLACKS","OUT OF HATE","ETHNIC / RACIAL VIOLENCE",1,"1",1,1,"GA","","","",1,"AMERICUS","",NA,"",1,4,NA,2,430,600,430,500,NA,NA,1,1,7,NA,401,NA,0,NA,"","","","",2504,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,55,NA,NA,NA,1,1,0,0,NA,0,0,NA,NA,NA,0,NA,1,0,"",NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"5625","MIKE MULCAHY",NA,"NYT",3,22,1967,3,15,1967,23,6703074,8,"4 MILK TRUCKS AT IN JERSEY  IN FARMERS DRIVE TO RAISE PRICE",0,"DAIRY FARMERS","WITHHOLD MILK, PICKETED, DESTROYED MILK","25 STATES","MILK PROCESSORS, BOTTLERS, US GOVT","PROTEST LOW PRICES","collective, claims made, public",32,"1",19,6,"NJ","PA","IL","WI",NA,"","",NA,"",0,NA,5,1,100,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",1338,NA,1305,NA,NA,NA,NA,NA,4,NA,NA,NA,20,62,57,45,1,4,0,1,1,1,1,1,NA,2,1,NA,1,0,"",NA,5,1,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,2000
"22754","KRISTY",2002-05-08,"NYT",3,4,1994,3,2,1994,2,9403002,1,"NOTICE THE STEEL STRIKE? 48 HOURS SUM UP A SLIDE",0,"UNION","PICKET","MARTIN'S FERRY, OHIO","STEEL MILLS","CALL FOR BETTER HEALTH CARE AND PENSION BENEFITS","COLLECTIVE, CLAIMS MADE, PUBLIC",16,"A",19,1,"OH","","","",1,"MARTIN'S FERRY","",NA,"",0,NA,4,1,1200,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,1,"UNITED STEELWORKERS OF AMERICA","","","",1400,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504
"13765","CARISSA WONG",2002-01-31,"NYT",6,25,1978,6,24,1978,1,7806057,2,"PROTESTORS CONVENE NEAR NUCLEAR PLANT",0,"MORE THAN 2500 DEMONSTRATORS","MACRH, SIGNS AND A RIBBON CUTTING CEREMONY","SEABROOK, NH","NUCLEAR POWER PLANTS AND GOVERNMENT","TO PROTEST THE CONSTRUCTION OF A NEW NUCLEAR POWER PLANT","COLLECTIVE, CLAIMS MADE, PUBLIC",18,"A",30,1,"NH","","","",1,"SEABROOK","",NA,"",1,2500,NA,1,400,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,1,1,"CLAMSHELL ALLIANCE","","","",200,1,NA,NA,NA,NA,NA,NA,2,4,6,NA,22,20,10,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801
"2868","MONICA LOPEX",2000-06-08,"NYT",2,9,1964,2,8,1964,2,6402022,1,"90 HELD IN CHAPEL HILL FOR PROTEST",0,"120 CIVIL RIGHTS DEMONSTRATORS","BLOCKED AN INTERSECTION","STREET INTERSECTION","THE CITY","TO PROTEST SEGREGATION PRACTICIES","COLLECTIVE, CLAIMS MADE, PUBLIC",50,"1",25,1,"NC","","","",1,"CHAPEL HILL","",NA,"",1,120,NA,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,3,"CORE","NAACP","STUDENT NONVIOLENT COORDINATING COMMITTEE","",1500,1,1501,1,NA,NA,NA,NA,5,NA,NA,NA,57,45,42,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"9535","KAREN CALDWELL -",NA,"NYT",9,29,1971,9,26,1971,3,7109092,1,"Massachusetts Prisoner Strikes Go On Despite ConcessionÖ",0,"Prison inmates","Refused to eat for 3 days","Kansas State Penitentary, Lansing, Kansas","To protest the quality of prison food","","Collective inconventional activity with specific claims",39,"1",1,1,"KS","","","",1,"LANSING","",NA,"",0,NA,2,1,1700,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",2300,1,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,54,NA,NA,NA,0,NA,0,1,0,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"18239","STEPH HINTZ",2001-08-03,"NYT",5,13,1985,8,NA,1978,50,8505099,5,"PHILADELPHIA POLICE BARRICADE GROUP'S HOUSE",1,"MOVE MEMBERS","STAND OFF WITH POLICE","PHILADELPHIA  PA","POLICE, GOV'T","ANTI-ESTABLISHMENT AMD ANTI-TECHNOLOGY PHILOSOPHY","COLLECTIVE, CLAIMS MADE, PUBLIC",17,"1",179,1,"PA","","","",1,"PHILADELPHIA","",NA,"",0,NA,2,1,1800,401,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"MOVE","","","",1400,3,1300,3,NA,NA,NA,NA,5,NA,NA,NA,45,55,NA,NA,1,1,0,1,1,1,1,0,9,NA,0,NA,0,1,"D-7902030",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1406
"3262","JEFF LARSON",2000-08-25,"NYT",7,7,1964,7,6,1964,1,6407015,1,"6 ST. LOUIS POLICEMEN HURT BY A BRICK-THROWING MOB",0,"MOSTLY NEGROES","ATTACK ON POLICE OFFICERS","ST. LOUIS","POLICE","UNCLEAR","COLLECTIVE, CLAIMS MADE, PUBLIC",2,"1",3,1,"MO","","","",1,"SAINT LOUIS","",NA,"",1,500,NA,1,401,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1500,1,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,55,NA,NA,NA,1,1,0,1,1,1,1,0,4,NA,1,NA,1,0,"",NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"10889","CALDWELL",NA,"NYT",7,30,1973,7,28,1973,1,7307049,1,"Youths Seize Man with Marijuana",0,"15 teenagers","seized a man trying to sell them marijuana and marched him to the police station","west village, new york city","to keep drugs off the streets","","collective, unconventional activity to achieve social change",23,"1",10,1,"NY","","","",1,"NEW YORK","",1,"WEST VILLAGE",1,15,NA,1,700,1800,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",1337,1,1326,1,NA,NA,NA,NA,11,2,NA,NA,55,22,NA,NA,1,2,0,1,1,0,0,0,1,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211
"18459","LAURA",2002-02-05,"NYT",10,9,1985,NA,NA,NA,1,8510002,2,"IN SUIT ON AIDS IN CITY SCHOOLS",1,"2 QUEENS PARENTS GROUPS","LAWSUIT","QUEENS","NEW YORK CITY","PROTEST ALLOWING AND HIV+ STUDENT TO ATTEND SCHOOL","COLLECTIVE, CLAIMS MADE, PUBLIC",30,"1",15,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,3,2,1800,NA,1800,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1338,2,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"1586","MARVIN RUTH",2000-10-11,"NYT",5,22,1962,3,NA,1962,1,6205007,1,"CHARLESTON STORES HIRE NEGROES AFTER PICKETING",0,"BLACK RESIDENTS","BOYCOTTED AND PICKETED","CHARLESTON, SC","BUSINESSES","PROTEST AGAINST JOB DISCRIMINATION","COLLECTIVE, CLAIMS MADE, PUBLIC",26,"1",5,1,"SC","","","",1,"CHARLESTON","",NA,"",0,NA,4,1,401,1800,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",1505,1,NA,NA,NA,NA,NA,NA,14,4,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"12173","KRISTY KAPTUR",2000-11-20,"NYT",1,22,1976,1,21,1976,1,7601126,1,"BOYCOTTING PARENTS WANT FUNDS USED FOR PRIVATE SCHOOLS",0,"7 BLACKS AND HISPANIC FAMILIES","NEW CONFERENCE","NEW YORK","CITY AND STATE EDUCATION OFFICIALS","ANNOUNCE PLANS TO SEEK VOUCHER PLAN TO ACCUSE OFFICIALS OF APATHY","COLLECTIVE, CLAIMS MADE, PUBLIC",37,"1",8,1,"NY","","","",1,"NEW YORK","",1,"126TH STREET",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"HARLEM PARENTS UNION","","","",1342,3,1338,2,NA,NA,NA,NA,15,NA,NA,NA,34,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"18856","KRISTY",2002-01-14,"NYT",6,30,1986,NA,NA,1985,NA,8606047,1,"TOWN TAINTED BY BITTERNESS OVER YEARLONG MINE STRIKE",1,"UNION","PICKET","GOUVERNEUR, NY","ST. JOE'S RESOURCES COMPANY","TO DEMAND HEALTH BENEFITS","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"2",31,1,"NY","","","",1,"GOUVERNEUR","",NA,"",0,NA,4,1,1200,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,1,"UNITED STEELWORKERS OF AMERICA","","","",1400,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504
"16882","WENDY",2002-02-14,"NYT",2,13,1983,2,NA,1983,1,8302021,1,"CLINICS OPPOSING BIRTH-CONTROL RATE",0,"PLANNED PARENTHOOD OF BERGEN COUNTY","POSTED A SIGN IN FRONT WINDOW","HACKENSACK, NEW JERSEY","GOVERNMENT","PROTEST POLICY ON PARENTAL NOTIFICATION","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"1",35,1,"NJ","","","",1,"HACKENSACK","",1,"PLANNED PARENTHOOD",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"PLANNED PARENTHOOD OF BERGEN COUNTY","","","",2400,3,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,98,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208
"19645","LAURIE BERG",2002-06-10,"NYT",1,23,1988,1,21,1988,3,8801032,1,"MUSLIMS START PATROL TO FIGHT CRACK IN BROOKLYN",0,"MUSLIMS (SOME OFF DUTY CORRECTION AND POLICE OFFICER","HAVE BEGUN TO PATROL THE STREETS, IF LICENSED, THEY CAN CARRY GUNS, IT","BEDFORD-STUYVESANT SECTION OF BROOKLYN","THOSE WHO INITIATE CRIM AND DRUG RELATED ACTIVITIES","TO RID THE STREETS OF CRIME AND DRUGS ESP CRACK","COLLECTIVE, CLAIMS MADE, PUBLIC",29,"A",16,1,"NY","","","",1,"NEW YORK","",1,"BEDFORD-STUYVESANT",0,NA,2,1,401,1100,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,"AL-TAQWA MOSQUE","","","",1337,3,1326,3,NA,NA,NA,NA,16,NA,NA,NA,98,NA,NA,NA,0,NA,0,1,1,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211
"22549","KRISTY",2002-03-06,"NYT",8,29,1993,8,NA,1993,1,9308065,1,"RIOTS RELIVED AS JURY VIEWS BEATING TAPES",0,"BLACKS","DEMONSTRATION WITH BANNERS","LOS ANGELES, CA","COURTS","CLAIM BLACKS ARE TREATED MORE HARSHLY IN THE COURTS","COLLECTIVE, CLAIMS MADE, PUBLIC",26,"1",17,1,"CA","","","",1,"LOS ANGELES","",NA,"",0,NA,3,1,401,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1500,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,99,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"61","LEAH MILLER",2001-06-11,"NYT",1,25,1960,1,20,1960,1,6001061,1,"ITALIANS FIGHT SLURS",0,"ITALIAN AMERICANS","FORMED NEW ORGANIZATION","NEW YORK CITY","THOSE WHO DEPICT ITALIAN AMERICANS AS CRIMINALS","PROTEST ITALIAN AMERICAN DISCRIMINATION","COLLECTIVE, CLAIMS MADE, PUBLIC",12,"1",2,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,451,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,"THE ITALIAN AMERICAN LEAGUE AGAINST DISCRIMINATION","","","",1400,3,2300,3,NA,NA,NA,NA,16,NA,NA,NA,98,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"11259","AMY",NA,"NYT",3,24,1974,3,24,1974,1,7403038,1,"2 L.I. PASTORS FEAR A SPLIT IN CHURCH",0,"STUDENTS","BOYCOTT","NEW YORK","SEMINARY","AGAINST DISPUTE BETWEEN CONSERVATIVES AND MODERATES","collective, claims made, public",116,"1",1,1,"NY","","","",1,"LONG ISLAND","",1,"MANHASSET",0,NA,3,1,800,NA,NA,NA,NA,NA,1,1,6,NA,NA,NA,0,NA,"","","","",1400,3,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,54,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207
"21329","WENDY",2002-02-04,"NYT",5,1,1991,4,30,1991,1,9105002,1,"TEST ALL HOSPITAL PATIENTS FOR AIDS, NEW JERSEY DOCTORS URGE",1,"GAY RIGHTS ACTIVISTS","ANNOUNCED OPPOSITION TO A DECISION BY DOCTORS TO TEST FOR AIDS","ATLANTIC CITY, NJ","MODEICAL SOCIETY OF NEW JERSEY","TO IMPROVE MEDICAL ACCESS FOR HIV+ PATIENTS","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"B",27,1,"NJ","","","",1,"ATLANTIC CITY","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,5,NA,NA,NA,1,1,"GAY MENS HEALTH CRISIS","","","",1610,1,1600,1,NA,NA,NA,NA,15,NA,NA,NA,98,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202
"3841","LOPEX",NA,"NYT",3,12,1965,3,11,1965,1,6503145,1,"MORNINGSIDE TENANTS PROTEST RENEWAL AT CITY HALL HEARING",0,"NEGRO & PUERTO RICANS","PROTEST","NYC","GOVT.","ANTI-SLUM CLEARANCE PROGRAM","COLLECTIVE, CLAIMS MADE, PUBLIC",17,"1",13,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,3,2,401,1900,403,1900,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1505,1,2004,1,NA,NA,NA,NA,1,NA,NA,NA,99,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"7236","NELLA VAN DYKE",NA,"NYT",2,17,1969,2,16,1969,1,6902059,1,"Blast Rocks Office",0,"unknown","a homemade bomb exploded in the administration building","at San Francisco State College","no claim made","","probably collective protest",26,"1",9,1,"CA","","","",1,"SAN FRANCISCO","",NA,"",0,NA,1,1,1800,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,0,NA,"","","","",1400,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,62,NA,NA,NA,1,5,0,0,NA,0,0,0,0,NA,1,NA,1,0,"",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99
"19910","BELINDA SICHULA",2002-04-21,"NYT",8,21,1988,6,NA,1988,260,8808039,1,"JERSEYANS ARE FIGHTING BACK ON RISING AUTO INSURANCE COSTS",1,"NJ RESIDENTS","PETITION","TRENTON, NJ","NJ SENATE","RECAL SENATE FOR RISING AUTO INSURANCE COSTS","COLLECTIVE, CLAIMS MADE, PUBLIC",36,"1",19,1,"NJ","","","",1,"TRENTON","",NA,"",1,3400,NA,1,1500,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1336,2,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,18,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2099
"21121","LAURA TACH",2004-01-20,"NYT",11,18,1990,NA,NA,NA,1,9011033,1,"SCHOOL EXPELS CROSS-BURNER",1,"WHITE STUDENT","BURNED CROSSES","WESLEYAN","BLACK STUDENTS","RACIAL CONFLICT","COLLECTIVE, CLAIMS MADE, PUBLIC",33,"1",1,1,"TN","","","",1,"ATHENS","",1,"TENNESSEE WESLEYAN COLLE",1,1,NA,1,430,800,NA,NA,NA,NA,1,1,7,NA,401,NA,0,NA,"","","","",2504,1,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,33,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"8326","KAREN CALDWELL",NA,"NYT",4,8,1970,4,7,1970,1,7004017,1,"Midnight Cowboy Gets Oscar  Wayne and Maggie Smith Win",0,"50 Mexican-Americans","demonstrated with placards and chanted ""Power the the Chicanos""","the Oscars in Los Angeles","the movie industry","","Hollywood stereotype of the lazy, indolent Mexican-American",38,"1",17,1,"CA","","","",1,"LOS ANGELES","",NA,"",1,50,NA,1,402,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",1807,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,28,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
